DT,ts_code,trade_date,OPEN,CLOSE,HIGH,LOW,pre_close,change,pct_chg,swing,vol
2023-05-12,SPTSX,20230512,614.78,617.84,617.84,614.78,616.65,1.19,0.19,0.5,
2023-05-15,SPTSX,20230515,617.99,615.81,619.45,615.29,617.84,-2.03,-0.33,0.67,
2023-05-16,SPTSX,20230516,615.49,607.02,615.53,606.44,615.81,-8.79,-1.43,1.48,
2023-05-17,SPTSX,20230517,610.51,611.75,612.6,607.67,607.02,4.73,0.78,0.81,
2023-05-18,SPTSX,20230518,610.98,609.03,610.98,606.55,611.75,-2.72,-0.44,0.72,
2023-05-19,SPTSX,20230519,611.37,612.79,613.38,609.39,609.03,3.76,0.62,0.66,
2023-05-23,SPTSX,20230523,616.27,611.35,617.97,611.3,612.79,-1.44,-0.23,1.09,
2023-05-24,SPTSX,20230524,612.05,606.07,612.05,603.27,611.35,-5.28,-0.86,1.44,
2023-05-25,SPTSX,20230525,607.07,602.64,607.07,600.77,606.07,-3.43,-0.57,1.04,
2023-05-26,SPTSX,20230526,603.69,604.09,606.18,601.52,602.64,1.45,0.24,0.77,
2023-05-29,SPTSX,20230529,605.07,606.85,608.0,604.5,604.09,2.76,0.46,0.58,
2023-05-30,SPTSX,20230530,607.33,596.96,607.33,596.11,606.85,-9.89,-1.63,1.85,
2023-05-31,SPTSX,20230531,596.21,595.82,596.21,590.49,596.96,-1.14,-0.19,0.96,
2023-06-01,SPTSX,20230601,597.22,606.01,606.29,595.66,595.82,10.19,1.71,1.78,
2023-06-02,SPTSX,20230602,609.06,609.08,610.29,607.25,606.01,3.07,0.51,0.5,
2023-06-05,SPTSX,20230605,609.15,609.89,610.61,607.31,609.08,0.81,0.13,0.54,
2023-06-06,SPTSX,20230606,610.5,612.58,612.58,607.56,609.89,2.69,0.44,0.82,
2023-06-07,SPTSX,20230607,609.97,612.28,613.86,609.64,612.58,-0.3,-0.05,0.69,
2023-06-08,SPTSX,20230608,611.06,611.68,611.68,608.46,612.28,-0.6,-0.1,0.53,
2023-06-09,SPTSX,20230609,612.06,610.32,612.78,609.54,611.68,-1.36,-0.22,0.53,
2023-06-12,SPTSX,20230612,611.78,614.25,614.25,610.15,610.32,3.93,0.64,0.67,
2023-06-13,SPTSX,20230613,617.61,616.76,621.17,613.95,614.25,2.51,0.41,1.18,
2023-06-14,SPTSX,20230614,618.25,609.99,619.24,609.55,616.76,-6.77,-1.1,1.57,
2023-06-15,SPTSX,20230615,610.57,612.18,612.31,608.91,609.99,2.19,0.36,0.56,
2023-06-16,SPTSX,20230616,615.05,613.82,615.15,611.63,612.18,1.64,0.27,0.57,
2023-06-19,SPTSX,20230619,614.6,612.3,614.7,611.38,613.82,-1.52,-0.25,0.54,
2023-06-20,SPTSX,20230620,612.04,612.75,613.23,607.82,612.3,0.45,0.07,0.88,
2023-06-21,SPTSX,20230621,611.15,608.26,611.15,606.84,612.75,-4.49,-0.73,0.7,
2023-06-22,SPTSX,20230622,606.14,600.87,606.14,600.1,608.26,-7.39,-1.21,0.99,
2023-06-23,SPTSX,20230623,601.26,598.74,601.26,595.11,600.87,-2.13,-0.35,1.02,
2023-06-26,SPTSX,20230626,599.62,601.99,604.52,597.65,598.74,3.25,0.54,1.15,
2023-06-27,SPTSX,20230627,600.26,607.91,607.91,599.5,601.99,5.92,0.98,1.4,
